epoch	accuracy	loss	val_accuracy	val_loss
0	0.10714922	2.4516756856775173	0.09759999811649323	2.306199312210083
1	0.16917008	2.114891258699836	0.19859999418258667	2.0674448013305664
2	0.22457212	1.9359814740264452	0.22139999270439148	1.9528411626815796
3	0.26091996	1.8650079871652214	0.23280000686645508	1.977554440498352
4	0.3364013	1.7103838441758301	0.3084000051021576	2.180631637573242
5	0.3910902	1.594006566381599	0.4174000024795532	1.5160526037216187
6	0.4484088	1.4667738456525443	0.32919999957084656	2.054365396499634
7	0.5110091	1.3481801668576197	0.41819998621940613	1.9745066165924072
8	0.55910146	1.2261780938653304	0.5540000200271606	1.2267683744430542
9	0.5810082	1.1830748930443287	0.5663999915122986	1.2764298915863037
10	0.596987	1.139534605592941	0.5199999809265137	1.4367486238479614
11	0.619072	1.0847819539756354	0.6263999938964844	1.1006814241409302
12	0.64998215	1.0164914839640513	0.692799985408783	0.9104390740394592
13	0.6615696	0.9761375659211748	0.7167999744415283	0.8416575193405151
14	0.69202965	0.9107574978946406	0.6064000129699707	1.2363370656967163
15	0.66921467	1.0031852631204203	0.4309999942779541	1.8214197158813477
16	0.470271	1.6734339886116332	0.3019999861717224	2.8828136920928955
17	0.43893743	1.7701575941401042	0.4074000120162964	1.9957736730575562
18	0.5728071	1.2380956773091434	0.6237999796867371	1.0680015087127686
19	0.65192103	1.004189689989544	0.6732000112533569	1.5999398231506348
20	0.6796889	0.9422285613858098	0.5266000032424927	1.4207417964935303
21	0.6856837	0.9443549655682052	0.6995999813079834	1.5573781728744507
22	0.65559816	1.0342752550944305	0.7264000177383423	0.7856236100196838
23	0.71403104	0.8352691391866504	0.7495999932289124	0.720848798751831
24	0.7345784	0.7877921787445761	0.770799994468689	0.6805583238601685
25	0.74908626	0.7476941215352252	0.7738000154495239	0.7460160851478577
26	0.7540337	0.739184899824489	0.7671999931335449	0.7236567139625549
27	0.76698273	0.7022034593796798	0.767799973487854	0.6628715991973877
28	0.76584256	0.7056898405746833	0.7102000117301941	0.9899405241012573
29	0.7721296	0.6817313797930001	0.7595999836921692	0.7275077104568481
30	0.78663754	0.6466608156726883	0.7766000032424927	0.676852285861969
31	0.78737295	0.6432607777936081	0.8059999942779541	0.5878185629844666
32	0.79691124	0.6161950902200081	0.7928000092506409	0.6227784156799316
33	0.7290961	0.8134450300170428	0.7346000075340271	0.8316773176193237
34	0.7785256	0.6582025096237522	0.7703999876976013	0.7303983569145203
35	0.8022152	0.5976678983617709	0.7973999977111816	0.6019693613052368
36	0.81077284	0.5697345983686667	0.8122000098228455	0.5794734954833984
37	0.81589854	0.5545864587141286	0.8130000233650208	0.5660557746887207
38	0.82409966	0.5397165565965519	0.7973999977111816	0.6374938488006592
39	0.8250802	0.5321215197754791	0.8044000267982483	0.5796349048614502
40	0.8295819	0.520163567207739	0.8041999936103821	0.5856935977935791
41	0.8311865	0.5059358967372836	0.8389999866485596	0.48308658599853516
42	0.83450705	0.5043983913494486	0.8216000199317932	0.5553626418113708
43	0.841059	0.48673951088117606	0.800599992275238	0.6136691570281982
